split_id,train_start,train_end,test_end,selected_strategy,selected_names_per_side,test_sharpe_ratio,test_annualized_return,test_max_drawdown
1,2024-10-01,2024-11-25,2024-12-23,momentum,2,31.9742,0.2367,-0.0003
2,2024-10-29,2024-12-23,2025-01-20,momentum,2,12.2378,0.146,-0.0009
